name,culinary_type,address,link,is_branch,payment_methods,description,price_range,open_schedule,available_facilities,unavailable_facilities,phone,overall_rating,individual_rating,seating_capacity
Pison,Kafe,"Jl. Teluk Betung No. 33, Thamrin, Jakarta Pusat",https://pergikuliner.com/restaurants/jakarta/pison-thamrin,True,"Tunai,Visa,Master,Debet",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ","Senin - Jumat (07:00 - 22:00), Sabtu - Minggu (09:00 - 22:00)","Area merokok,Area outdoor,100% Halal,Bisa reservasi,Area parkir,Alkohol","Wifi,Pesan antar,24 Jam,Ruang VIP,Vegetarian",021 22807064,4.13,"4.3,4.5,4.3,4.5,4.3",
La Maison,Toko Kue,"PIK Avenue, Lantai 1, Jl. Pantai Indah Kapuk, Pantai Indah Kapuk, Penjaringan, Jakarta Utara",https://pergikuliner.com/restaurants/jakarta/la-maison-pantai-indah-kapuk,True,"Tunai,Visa,Master,Debet",,"
                  Rp. 50.000 - Rp. 100.000 /orang
                ",Senin - Minggu (08:00 - 22:00),"100% Halal,Area parkir","Wifi,Pesan antar,Area merokok,Area outdoor,24 Jam,Ruang VIP,Bisa reservasi,Alkohol,Vegetarian",085943133040,4.15,"4.3,4.1,3.7,4.5,4.1",
Fried Chicken Master,"Jam Buka
Senin - Minggu (10:00 - 22:00)

Buka

","Konko Hostel, Jl. Kebon Sirih No. 9J, Menteng, Jakarta Pusat",https://pergikuliner.com/restaurants/jakarta/fried-chicken-master-menteng,True,"Tunai,Visa,Master,Debet",,"
                  Di bawah Rp. 50.000 /orang
                ",Senin - Minggu (10:00 - 21:00),"Area merokok,Area outdoor,100% Halal,Area parkir","Wifi,Pesan antar,24 Jam,Ruang VIP,Bisa reservasi,Alkohol,Vegetarian",08118176668,4.2,"4.4,4.0,3.8,4.3,4.3",
Ghrana,Kafe,"Jl. Kirai I No. 36B, Darmawangsa, Kebayoran Baru, Jakarta Selatan",https://pergikuliner.com/restaurants/jakarta/ghrana-darmawangsa,False,"Tunai,Visa,Master,Debet,Go-pay",,"
                  Di bawah Rp. 50.000 /orang
                ",Senin - Minggu (10:00 - 22:00),"Wifi,Area merokok,Area outdoor,100% Halal,Area parkir","Pesan antar,24 Jam,Ruang VIP,Bisa reservasi,Alkohol,Vegetarian",08111044526,4.31,"4.6,3.5,4.6,4.3,4.1",Kapasitas:  30 kursi
The Grand Duck King Signature,China,"Setiabudi One, Lantai Ground, Jl. HR Rasuna Said, Setiabudi, Jakarta Selatan",https://pergikuliner.com/restaurants/jakarta/the-grand-duck-king-signature-setiabudi,True,"Tunai,Visa,Master,Debet",,"
                  Di atas Rp. 200.000 /orang
                ","Senin - Jumat (10:00 - 21:00), Sabtu - Minggu (08:00 - 22:00)","Wifi,Area merokok,Bisa reservasi,Area parkir,Alkohol","Pesan antar,Area outdoor,24 Jam,100% Halal,Ruang VIP,Vegetarian",085963105346,4.29,"4.3,4.6,4.1,4.3,4.3",
Sooka,Kafe,"Jl. Bangka Raya No. 10, Kemang, Jakarta Selatan",https://pergikuliner.com/restaurants/jakarta/sooka-kemang,False,"Tunai,Debet,Go-pay,Ovo,Dana",,"
                  Di bawah Rp. 50.000 /orang
                ","Senin - Sabtu (11:00 - 15:00, 17:30 - 21:00), Minggu (08:00 - 15:00, 17:30 - 21:00)","Wifi,Area merokok,Area outdoor,100% Halal,Bisa reservasi,Area parkir","Pesan antar,24 Jam,Ruang VIP,Alkohol,Vegetarian",021 5207080,4.31,"4.6,4.3,4.3,4.1,4.1",
Hause Rooftop,Kafe,"MD Place, Tower 2, Lantai 6, Jl. Setiabudi Selatan No. 7, Setiabudi, Jakarta Selatan",https://pergikuliner.com/restaurants/jakarta/hause-rooftop-setiabudi,False,"Tunai,Visa,Master,Debet",,"
                  Di atas Rp. 200.000 /orang
                ",Senin - Minggu (11:00 - 19:30),"Wifi,Area merokok,Area outdoor,Bisa reservasi,Area parkir,Alkohol","Pesan antar,24 Jam,100% Halal,Ruang VIP,Vegetarian",081281674410,3.99,"4.4,4.3,4.3,4.6,4.0",
Cold Moo,Es Krim,"Ruko Darmawangsa Square, No. 20, Jl. Darmawangsa VI, Darmawangsa, Kebayoran Baru, Jakarta Selatan, 
, ( Alamat Lama: , Pelaspas Dharmawangsa, Jl. Darmawangsa Raya No. 4, Darmawangsa, Kebayoran Baru, Jakarta Selatan , )",https://pergikuliner.com/restaurants/jakarta/cold-moo-darmawangsa,False,Tunai,,"
                  Di bawah Rp. 50.000 /orang
                ",Senin - Minggu (10:00 - 22:00),"Wifi,Area merokok,Area outdoor,100% Halal,Area parkir","Pesan antar,24 Jam,Ruang VIP,Bisa reservasi,Alkohol,Vegetarian",021 29529852,4.02,"3.9,4.5,3.4,4.0,4.2",
Genki Sushi,Jepang,"23 Paskal Shopping Center, Lantai 3, Jl. Pasir Kaliki No. 25 - 27, Pasir Kaliki, Bandung",https://pergikuliner.com/restaurants/bandung/genki-sushi-pasir-kaliki,True,"Tunai,Visa,Master,Debet,Go-pay,Ovo,Dana",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ",Senin - Minggu (11:00 - 21:00),"Pesan antar,Area parkir","Wifi,Area merokok,Area outdoor,24 Jam,100% Halal,Ruang VIP,Bisa reservasi,Alkohol,Vegetarian",022 20561811,4.05,"4.4,4.2,3.4,4.2,4.2",
Genki Sushi,Jepang,"Grand Indonesia Mall, Lantai 2, West Mall, SEIBU, Jl. MH Thamrin, Thamrin, Jakarta Pusat",https://pergikuliner.com/restaurants/jakarta/genki-sushi-grand-indonesia-thamrin,True,"Tunai,Visa,Master,Debet",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ",Senin - Minggu (10:00 - 22:00),"Area parkir,Alkohol","Wifi,Pesan antar,Area merokok,Area outdoor,24 Jam,100% Halal,Ruang VIP,Bisa reservasi,Vegetarian",021 23580157,4.02,"4.0,4.1,3.7,4.2,4.1",
Pizza Marzano,Italia,"Grand Indonesia Mall, Lantai Lower Ground, West Mall, The FoodHall, Jl. MH Thamrin, Thamrin, Jakarta Pusat",https://pergikuliner.com/restaurants/jakarta/pizza-marzano-thamrin,True,"Tunai,Visa,Master,Debet",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ",Senin - Minggu (10:00 - 22:00),"Wifi,100% Halal,Bisa reservasi,Area parkir","Pesan antar,Area merokok,Area outdoor,24 Jam,Ruang VIP,Alkohol,Vegetarian",021 23580150,3.98,"4.2,4.0,3.7,4.0,4.0",
Toby's Estate,Kafe,"Pondok Indah Mall 2, Lantai Ground, Jl. Metro Pondok Indah, Pondok Indah, Jakarta Selatan",https://pergikuliner.com/restaurants/jakarta/toby-s-estate-pondok-indah,True,"Tunai,Visa,Master,Debet",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ",Senin - Minggu (08:00 - 22:00),"Wifi,100% Halal,Bisa reservasi,Area parkir,Alkohol","Pesan antar,Area merokok,Area outdoor,24 Jam,Ruang VIP,Vegetarian",021 75920533,4.0,"4.3,4.2,3.5,3.8,4.1",
Pizza Place,Italia,"Como Park Building, Jl. Kemang Timur Raya No. 998, Kemang, Jakarta Selatan",https://pergikuliner.com/restaurants/jakarta/pizza-place-kemang,True,"Tunai,Visa,Master,Debet",,"
                  Rp. 50.000 - Rp. 100.000 /orang
                ","Senin - Jumat (11:00 - 22:00), Sabtu - Minggu (10:00 - 22:00)","Wifi,Area merokok,Area outdoor,100% Halal,Area parkir","Pesan antar,24 Jam,Ruang VIP,Bisa reservasi,Alkohol,Vegetarian",021 7199998,3.97,"4.2,3.8,4.1,4.0,3.8",
Finch Coffee & Kitchen,Kafe,"Sentul City, Taman Budaya Sentul, Jl. Siliwangi No. 1, Sentul, Bogor",https://pergikuliner.com/restaurants/bogor/finch-coffee-dan-kitchen-sentul,False,"Tunai,Debet",,"
                  Di bawah Rp. 50.000 /orang
                ","Selasa - Minggu (09:00 - 21:00), Senin Tutup","Wifi,Area merokok,Area outdoor,100% Halal,Bisa reservasi,Area parkir","Pesan antar,24 Jam,Ruang VIP,Alkohol,Vegetarian",087855540063,3.97,"4.0,4.4,3.7,3.8,3.9",
Yakiniku Like,Jepang,"Grand Indonesia Mall, Lantai 5, West Mall, Jl. MH Thamrin, Thamrin, Jakarta Pusat",https://pergikuliner.com/restaurants/jakarta/yakiniku-like-thamrin,True,"Tunai,Visa,Master,Debet",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ",Senin - Minggu (10:00 - 21:00),"100% Halal,Area parkir,Alkohol","Wifi,Pesan antar,Area merokok,Area outdoor,24 Jam,Ruang VIP,Bisa reservasi,Vegetarian",021 3108388,4.0,"4.4,3.7,3.9,4.0,4.0",
Penang Bistro,Malaysia,"Grand Indonesia Mall, Lantai 3A, West Mall, Jl. MH Thamrin, Thamrin, Jakarta Pusat",https://pergikuliner.com/restaurants/jakarta/penang-bistro-thamrin,True,"Tunai,Visa,Master,Debet",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ",Senin - Minggu (10:00 - 22:00),"Wifi,100% Halal,Ruang VIP,Bisa reservasi,Area parkir,Alkohol","Pesan antar,Area merokok,Area outdoor,24 Jam,Vegetarian",021 23580958,4.16,"4.1,4.3,3.7,4.2,4.4",
Kiila Kiila Cafe,Kafe,"Kemang Kolonie, Jl. Kemang Timur No. 9E, Kemang, Jakarta Selatan",https://pergikuliner.com/restaurants/jakarta/kiila-kiila-cafe-kemang,False,"Tunai,Visa,Master,Debet",,"
                  Rp. 50.000 - Rp. 100.000 /orang
                ",Senin - Minggu (08:00 - 21:00),"Wifi,Area merokok,Area outdoor,100% Halal,Bisa reservasi,Area parkir","Pesan antar,24 Jam,Ruang VIP,Alkohol,Vegetarian",081997730303,4.14,"3.9,4.4,3.8,4.2,4.4",
Come-Xia,China,"Apartemen Yukata Suites, Lantai Ground, Jl. Alam Sutera Boulevard, Alam Sutera, Serpong, Tangerang Selatan",https://pergikuliner.com/restaurants/tangerang/come-xia-alam-sutera,False,"Tunai,Visa,Master,Debet",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ",Senin - Minggu (09:00 - 20:00),"Area merokok,Area outdoor,100% Halal,Bisa reservasi,Area parkir","Wifi,Pesan antar,24 Jam,Ruang VIP,Alkohol,Vegetarian",081383415241,4.19,"3.8,4.4,3.6,4.4,4.7",
Vows Coffee,Kafe,"Komplek Carina Sayang 1, No. 8, Jl. Jembatan Tiga, Pluit, Penjaringan, Jakarta Utara",https://pergikuliner.com/restaurants/jakarta/vows-coffee-pluit,False,Tunai,,"
                  Di bawah Rp. 50.000 /orang
                ",Senin - Minggu (07:00 - 19:00),"Wifi,Area merokok,Area outdoor,100% Halal,Area parkir","Pesan antar,24 Jam,Ruang VIP,Bisa reservasi,Alkohol,Vegetarian",021 2295 6067,4.14,"4.0,4.2,3.9,4.4,4.2",
Bakmi GM,Indonesia,"Graha Famili Commercial Area Tahap II, Jl. Mayjend Yono Soewoyo, Dukuh Pakis, Surabaya",https://pergikuliner.com/restaurants/surabaya/bakmi-gm-dukuh-pakis,True,"Tunai,Visa,Master,Debet",,"
                  Di bawah Rp. 50.000 /orang
                ",Senin - Minggu (10:00 - 22:00),"100% Halal,Bisa reservasi,Area parkir","Wifi,Pesan antar,Area merokok,Area outdoor,24 Jam,Ruang VIP,Alkohol,Vegetarian",031 99147286,4.04,"4.2,3.8,3.9,4.2,4.1",
Taliwang Bali,Indonesia,"Grand Indonesia Mall, Lantai 5, Sky Bridge, Jl. MH Thamrin, Thamrin, Jakarta Pusat",https://pergikuliner.com/restaurants/jakarta/taliwang-bali-thamrin,True,"Tunai,Visa,Master,Debet",,"
                  Rp. 50.000 - Rp. 100.000 /orang
                ",Senin - Minggu (10:00 - 22:00),"100% Halal,Bisa reservasi,Area parkir","Wifi,Pesan antar,Area merokok,Area outdoor,24 Jam,Ruang VIP,Alkohol,Vegetarian",021 23580818,3.97,"4.0,4.2,3.6,4.0,4.0",
Namy House Vegetarian,Vegetarian,"Komplek Taman Duta Mas, Blok C1A No. 16, Jl. Kusuma, Jelambar, Jakarta Barat",https://pergikuliner.com/restaurants/jakarta/namy-house-vegetarian-jelambar,True,"Tunai,Debet",,"
                  Di bawah Rp. 50.000 /orang
                ",Senin - Minggu (10:00 - 21:00),"Pesan antar,Area merokok,Area outdoor,100% Halal,Bisa reservasi,Vegetarian","Wifi,24 Jam,Ruang VIP,Area parkir,Alkohol",085280711168,4.2,"4.6,3.7,4.4,4.1,4.2",
Gioi Asian Bistro & Lounge,"Barat,Indonesia","Urban Farm, Jl. Golf Island Boulevard, Pantai Indah Kapuk, Penjaringan, Jakarta Utara",https://pergikuliner.com/restaurants/jakarta/gioi-asian-bistro-dan-lounge-pantai-indah-kapuk,True,"Tunai,Visa,Master,Debet",,"
                  Di atas Rp. 200.000 /orang
                ","Senin - Jumat (09:00 - 22:00), Sabtu - Minggu (08:00 - 22:00)","Wifi,Area merokok,Area outdoor,Ruang VIP,Bisa reservasi,Area parkir,Alkohol","Pesan antar,24 Jam,100% Halal,Vegetarian",081388996101,4.18,"4.3,4.5,3.6,4.3,4.2",
Chingu Korean Fan Cafe,Korea,"Jl. Sawunggaling No. 10, Dago Bawah, Bandung",https://pergikuliner.com/restaurants/bandung/chingu-korean-fan-cafe-dago-bawah,True,"Tunai,Visa,Master,Debet,Go-pay,Ovo",,"
                  Rp. 50.000 - Rp. 100.000 /orang
                ",Senin - Minggu (10:00 - 21:00),"Wifi,Area merokok,Area outdoor,100% Halal,Ruang VIP,Bisa reservasi,Area parkir","Pesan antar,24 Jam,Alkohol,Vegetarian",022 4239963,3.97,"3.8,4.3,3.8,3.9,4.1",
Pizza Marzano,Italia,"Central Park, Lantai Ground, SOGO, Jl. Letjen S. Parman, Slipi, Jakarta Barat",https://pergikuliner.com/restaurants/jakarta/pizza-marzano-slipi,True,"Tunai,Visa,Master,Debet",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ",Senin - Minggu (10:00 - 22:00),"Wifi,Area merokok,Area outdoor,100% Halal,Bisa reservasi,Area parkir","Pesan antar,24 Jam,Ruang VIP,Alkohol,Vegetarian",021 29201140,3.97,"4.0,4.1,3.6,4.1,4.0",
Bansan,Jepang,"Jl. Cipete Raya No. 65, Fatmawati, Jakarta Selatan",https://pergikuliner.com/restaurants/jakarta/bansan-fatmawati,True,"Tunai,Visa,Master,Debet",,"
                  Di bawah Rp. 50.000 /orang
                ",Senin - Minggu (11:00 - 21:00),"Wifi,100% Halal,Area parkir","Pesan antar,Area merokok,Area outdoor,24 Jam,Ruang VIP,Bisa reservasi,Alkohol,Vegetarian",021 7663228,3.97,"4.5,3.6,4.2,3.7,3.9",
Layar Seafood,Indonesia,"Jl. Pesanggrahan No. 80, Puri, Jakarta Barat",https://pergikuliner.com/restaurants/jakarta/layar-seafood-puri,True,"Tunai,Visa,Master,Debet",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ",Senin - Minggu (11:00 - 21:00),"Wifi,Pesan antar,Area merokok,Area outdoor,100% Halal,Ruang VIP,Bisa reservasi,Area parkir,Alkohol","24 Jam,Vegetarian",021 58907223,4.0,"4.4,3.9,3.9,3.8,4.0",
RM Pangeran Khas Minang,Indonesia,"Jl. Raya Serpong KM 7 No. 67, Serpong, Tangerang Selatan",https://pergikuliner.com/restaurants/tangerang/rm-pangeran-khas-minang-serpong,True,"Tunai,Visa,Master,Debet",,"
                  Di bawah Rp. 50.000 /orang
                ",Senin - Minggu (08:00 - 21:30),"Wifi,Pesan antar,Area merokok,Area outdoor,100% Halal,Ruang VIP,Bisa reservasi,Area parkir","24 Jam,Alkohol,Vegetarian",081210182144,4.06,"4.4,4.1,3.8,4.1,3.9",
Purple House Mama AL,Kafe,"Jl. Abdul Majid Raya No. 44R, Fatmawati, Jakarta Selatan",https://pergikuliner.com/restaurants/jakarta/purple-house-mama-al-fatmawati,False,"Tunai,Visa,Master,Debet",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ",Senin - Minggu (10:00 - 22:00),"Wifi,Pesan antar,100% Halal,Bisa reservasi,Area parkir","Area merokok,Area outdoor,24 Jam,Ruang VIP,Alkohol,Vegetarian",081212260108,4.11,"4.1,4.2,3.6,4.4,4.3",
Song Fa Bak Kut Teh,China,"PIK Avenue, Lantai 1, Jl. Pantai Indah Kapuk, Pantai Indah Kapuk, Penjaringan, Jakarta Utara",https://pergikuliner.com/restaurants/jakarta/song-fa-bak-kut-teh-pantai-indah-kapuk-2,True,"Tunai,Visa,Master,Debet",,"
                  Rp. 50.000 - Rp. 100.000 /orang
                ",Senin - Minggu (10:00 - 21:00),"Ruang VIP,Bisa reservasi,Area parkir","Wifi,Pesan antar,Area merokok,Area outdoor,24 Jam,100% Halal,Alkohol,Vegetarian",021 50116471,4.2,"4.8,4.4,3.6,4.3,4.0",
Sushi Tei,Jepang,"Gandaria City, Lantai Upper Ground, Mainstreet Dining, Jl. Sultan Iskandar Muda, Gandaria, Jakarta Selatan",https://pergikuliner.com/restaurants/jakarta/sushi-tei-gandaria,True,"Tunai,Visa,Master,Debet",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ",Senin - Minggu (10:00 - 22:00),"100% Halal,Ruang VIP,Bisa reservasi,Area parkir","Wifi,Pesan antar,Area merokok,Area outdoor,24 Jam,Alkohol,Vegetarian",021 29052892,4.07,"4.2,4.0,3.9,4.0,4.2",
Honest Spoon,Es Krim,"Jl. Cikajang No. 63, Senopati, Kebayoran Baru, Jakarta Selatan",https://pergikuliner.com/restaurants/jakarta/honest-spoon-senopati,False,"Tunai,Visa,Master,Debet",,"
                  Di bawah Rp. 50.000 /orang
                ","Senin - Kamis (10:00 - 21:00), Jumat - Sabtu (10:00 - 22:30), Minggu (10:00 - 20:00)","Wifi,Area merokok,Area outdoor,100% Halal,Bisa reservasi,Area parkir","Pesan antar,24 Jam,Ruang VIP,Alkohol,Vegetarian",081286074438,3.99,"4.1,3.9,3.9,4.1,4.0",
Ruach Coffee,Kafe,"Ruko Crystal 2, No. 21, Jl. Ki Hajar Dewantara, Gading Serpong, Serpong, Tangerang",https://pergikuliner.com/restaurants/tangerang/ruach-coffee-gading-serpong,False,"Tunai,Debet,Go-pay,Ovo,Dana",,"
                  Di bawah Rp. 50.000 /orang
                ","Senin - Sabtu (08:00 - 20:00), Minggu Tutup","Wifi,Area merokok,Area outdoor,100% Halal,Area parkir","Pesan antar,24 Jam,Ruang VIP,Bisa reservasi,Alkohol,Vegetarian",083806778312,4.32,"4.0,4.4,4.1,4.6,4.5",
Bulgogi Yaa!,Korea,"The View Building, Lantai 2, Jl. Pahlawan Revolusi No. 5, Pondok Bambu, Jakarta Timur",https://pergikuliner.com/restaurants/jakarta/bulgogi-yaa-pondok-bambu,False,Tunai,,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ",Senin - Minggu (12:00 - 21:00),"Area merokok,100% Halal,Area parkir","24 Jam,Vegetarian",081774189990,4.87,"5.0,4.7,5.0,4.7,5.0",
Sakana MidPlaza,Jepang,"MidPlaza 1, Lantai Basement, Jl. Jenderal Sudirman, Sudirman, Jakarta Pusat",https://pergikuliner.com/restaurants/jakarta/sakana-midplaza-sudirman,True,"Tunai,Visa,Master,Debet",,"
                  Di atas Rp. 200.000 /orang
                ","Senin - Jumat (11:30 - 14:30, 17:30 - 22:00), Sabtu - Minggu (12:00 - 15:00, 17:00 - 21:00)","Wifi,Area merokok,Bisa reservasi,Area parkir,Alkohol","Pesan antar,Area outdoor,24 Jam,100% Halal,Ruang VIP,Vegetarian",021 5746452,4.1,"4.2,4.3,3.9,4.2,4.0",
Central Restaurant,China,"Jl. Tomang Raya No. 29 (Samping Gedung HSBC), Tomang, Jakarta Barat",https://pergikuliner.com/restaurants/jakarta/central-restaurant-tomang,True,"Tunai,Visa,Master,Debet",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ","Senin - Jumat (10:00 - 22:00), Sabtu - Minggu (08:00 - 22:00)","Wifi,Pesan antar,Ruang VIP,Bisa reservasi,Area parkir,Alkohol","Area merokok,Area outdoor,24 Jam,100% Halal,Vegetarian",021 5681712,4.06,"4.2,4.1,3.7,4.3,4.0",
Java Soul Coffee,Kafe,"Jl. Kemang Timur Raya No. 50E, Kemang, Jakarta Selatan",https://pergikuliner.com/restaurants/jakarta/java-soul-coffee-kemang,False,"Tunai,Visa,Master,Debet",,"
                  Rp. 50.000 - Rp. 100.000 /orang
                ","Senin - Sabtu (09:00 - 23:00), Minggu Tutup","Wifi,Area merokok,Area outdoor,100% Halal,Bisa reservasi,Area parkir","Pesan antar,24 Jam,Ruang VIP,Alkohol,Vegetarian",021 22720871,4.04,"4.0,4.5,3.6,4.0,4.1",
House Of Omurice,Jepang,"Kota Kasablanka, Lantai Upper Ground, Food Society, Jl. Casablanca Raya, Tebet, Jakarta Selatan",https://pergikuliner.com/restaurants/jakarta/house-of-omurice-tebet,True,"Tunai,Visa,Master,Debet",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ","Senin - Kamis (10:00 - 21:00), Jumat - Minggu (10:00 - 22:00)","Wifi,100% Halal,Bisa reservasi,Area parkir","Pesan antar,Area merokok,Area outdoor,24 Jam,Ruang VIP,Alkohol,Vegetarian",021 2295 6067,3.99,"4.0,4.4,3.8,4.0,4.2",
Bakmi Jogja Bengawan,Indonesia,"Jl. Taman Pramuka No. 183, Riau, Bandung",https://pergikuliner.com/restaurants/bandung/bakmi-jogja-bengawan-riau,True,Tunai,,"
                  Di bawah Rp. 50.000 /orang
                ",Senin - Minggu (10:00 - 21:00),"Area merokok,Area outdoor,100% Halal,Area parkir","Wifi,Pesan antar,24 Jam,Ruang VIP,Bisa reservasi,Alkohol,Vegetarian",021 29488719,4.06,"4.3,3.9,3.7,4.0,4.1",
Satu Dunia Satu Cinta,Vegetarian,"Jl. A1 No. 34, Teluk Gong, Jakarta Utara",https://pergikuliner.com/restaurants/jakarta/satu-dunia-satu-cinta-teluk-gong,True,"Tunai,Debet",,"
                  Di bawah Rp. 50.000 /orang
                ","Selasa - Minggu (11:00 - 21:00), Senin Tutup","100% Halal,Bisa reservasi,Vegetarian","Wifi,Pesan antar,Area merokok,Area outdoor,24 Jam,Ruang VIP,Area parkir,Alkohol",022 7271356,4.27,"4.1,4.1,4.1,4.1,3.9",
Backyard Coffee & Shop,Kafe,"Jl. Pondok Betung Raya No. 1A (Bintaro Sektor 3A), Bintaro, Tangerang Selatan",https://pergikuliner.com/restaurants/tangerang/backyard-coffee-dan-shop-bintaro,True,"Tunai,Debet",,"
                  Di bawah Rp. 50.000 /orang
                ",Senin - Minggu (07:00 - 21:00),"Wifi,Pesan antar,Area merokok,Area outdoor,24 Jam,100% Halal,Bisa reservasi,Area parkir","Ruang VIP,Alkohol,Vegetarian",081908192178,4.4,"4.3,4.1,4.1,4.3,4.3",
Maison Tatsuya,Jepang,"Central Park, Lantai 1, Jl. Letjen S. Parman, Slipi, Jakarta Barat",https://pergikuliner.com/restaurants/jakarta/maison-tatsuya-slipi,True,"Tunai,Visa,Master,Debet",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ",Senin - Minggu (06:00 - 21:00),"Wifi,100% Halal,Bisa reservasi,Area parkir,Alkohol","Pesan antar,Area merokok,Area outdoor,24 Jam,Ruang VIP,Vegetarian",021 6692093,4.01,"4.1,4.0,4.6,4.2,4.4",
Yakiniku Like,Jepang,"Pondok Indah Mall 3, Lantai 3, Foodcourt, Jl. Metro Pondok Indah, Pondok Indah, Jakarta Selatan",https://pergikuliner.com/restaurants/jakarta/yakiniku-like-pondok-indah,True,"Tunai,Visa,Master,Debet,Go-pay,Ovo,Dana",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ",Senin - Minggu (17:00 - 22:00),"Area merokok,Area outdoor,100% Halal,Bisa reservasi,Area parkir,Alkohol","Wifi,Pesan antar,24 Jam,Ruang VIP,Vegetarian",081524892031,4.4,"4.3,4.4,3.3,4.7,4.6",
Sedjuk Bakmi & Kopi by Tulodong 18,Kafe,"Gedung Filateli Jakarta, Pos Bloc, Jl. Pos No. 2, Pasar Baru, Sawah Besar, Jakarta Pusat",https://pergikuliner.com/restaurants/jakarta/sedjuk-bakmi-dan-kopi-by-tulodong-18-pasar-baru,True,"Debet,Go-pay,Ovo,Dana",,"
                  Rp. 50.000 - Rp. 100.000 /orang
                ",24 Jam,"Area merokok,Area outdoor,100% Halal,Bisa reservasi,Area parkir","Wifi,Pesan antar,24 Jam,Ruang VIP,Alkohol,Vegetarian",081310712000,4.3,"4.7,4.2,4.2,4.8,4.2",
Ol' Pops Coffee,Kafe,"Jl. Pendidikan No. 77 (Dekat Sodaqo Mart), Sawangan, Depok",https://pergikuliner.com/restaurants/depok/ol-pops-coffee-sawangan,True,"Tunai,Visa,Master,Debet",,"
                  Rp. 50.000 - Rp. 100.000 /orang
                ",Senin - Minggu (11:00 - 22:00),"Wifi,Area merokok,Area outdoor,100% Halal,Bisa reservasi,Area parkir","Pesan antar,24 Jam,Ruang VIP,Alkohol,Vegetarian",021 56985557,4.37,"4.1,4.2,3.6,4.1,4.1",
Noodle King,Korea,"Lotte Shopping Avenue, Lantai 3, Jl. Prof Dr Satrio, Karet Kuningan, Setiabudi, Jakarta Selatan",https://pergikuliner.com/restaurants/jakarta/noodle-king-karet-kuningan,True,"Tunai,Visa,Master,Debet",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ",Senin - Minggu (10:00 - 21:00),"Wifi,Area merokok,Ruang VIP,Bisa reservasi,Area parkir,Alkohol","Pesan antar,Area outdoor,24 Jam,100% Halal,Vegetarian",021 27813770,3.95,"4.7,4.2,4.2,4.5,4.5",
PUTIEN,China,"Neo Soho Mall, Lantai Upper Ground, Jl. Letjen S. Parman, Slipi, Jakarta Barat",https://pergikuliner.com/restaurants/jakarta/putien-slipi,True,"Tunai,Visa,Master,Debet",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ",Senin - Minggu (11:00 - 21:00),"Wifi,Ruang VIP,Bisa reservasi,Area parkir,Alkohol","Pesan antar,Area merokok,Area outdoor,24 Jam,100% Halal,Vegetarian",08111747574,4.02,"4.3,4.0,4.4,4.6,4.4",
Kartiko Heritage,Indonesia,"Jl. Raya Darmo Permai I No. 45 - 47, Dukuh Pakis, Surabaya",https://pergikuliner.com/restaurants/surabaya/kartiko-heritage-dukuh-pakis,False,"Tunai,Debet",,"
                  Rp. 50.000 - Rp. 100.000 /orang
                ","Senin - Jumat (09:00 - 22:00), Sabtu - Minggu (07:00 - 22:00)","Area merokok,Area outdoor,100% Halal,Bisa reservasi,Area parkir","Wifi,Pesan antar,24 Jam,Ruang VIP,Alkohol,Vegetarian",085718315155,4.11,"4.5,4.0,4.1,4.5,4.4",
Tokito Kitchen,Indonesia,"Ruko Crystal Lane, No. 51, Jl. Bhayangkara, Alam Sutera, Serpong, Tangerang Selatan",https://pergikuliner.com/restaurants/tangerang/tokito-kitchen-alam-sutera,False,"Tunai,Visa,Master,Debet,Go-pay,Ovo,Dana",,"
                  Di bawah Rp. 50.000 /orang
                ","Senin - Jumat (10:00 - 23:00), Sabtu - Minggu (10:00 - 24:00)","100% Halal,Bisa reservasi,Area parkir","Wifi,Pesan antar,Area merokok,Area outdoor,24 Jam,Ruang VIP,Alkohol,Vegetarian",021 7491197,4.03,"4.2,4.8,4.2,4.3,4.3",
